"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:Vradi01g00010",3341.6731786443,-0.21322739610706,0.145565789435815,-1.46481805191651,0.142970565392237,0.283698925101919
"gene:Vradi01g00020",793.983007820384,-0.0180562649519534,0.228938661912146,-0.0788694438988307,0.937136467745644,0.963196181324389
"gene:Vradi01g00030",75.2382534639819,-1.48986382409977,0.33299171688956,-4.47417682943117,7.67062439538926e-06,7.49208010333395e-05
"gene:Vradi01g00040",119.862080276742,-0.0877262784469617,0.232298531305369,-0.377644567763714,0.705694651881538,0.836089267686669
"gene:Vradi01g00050",3818.07497509196,0.158841167660651,0.199213687448828,0.79734063303985,0.425253227811641,0.61105957962531
"gene:Vradi01g00060",1044.6365340771,0.0217722950636015,0.173499341129341,0.125489208903512,0.900136267555132,0.94704086031227
"gene:Vradi01g00070",498.090224667143,0.0568800260278558,0.199623885684561,0.284935972630729,0.775693195639277,0.879660284463671
"gene:Vradi01g00080",556.215338400158,-0.214460824281777,0.165336844373001,-1.2971145366604,0.194591780533058,0.35558509108941
"gene:Vradi01g00090",3382.66483717595,0.383811312138457,0.137192315292218,2.79761524048154,0.00514813984713085,0.0208631843331526
"gene:Vradi01g00100",787.933788279751,0.0531440349038335,0.191454704082083,0.27758019923631,0.781334633746158,0.884303281279793
"gene:Vradi01g00110",162.018673206698,-1.49916029042893,0.22751374669293,-6.58931740266365,4.41853277109485e-11,1.26053667264883e-09
"gene:Vradi01g00120",213.734729126465,0.169511041809376,0.241344204940337,0.702362179573697,0.482453325058316,0.662194755121033
"gene:Vradi01g00130",0,NA,NA,NA,NA,NA
"gene:Vradi01g00140",40.1543811913871,-1.70877180606529,0.524300233500586,-3.25914752060353,0.00111747544641332,0.00569737173924971
"gene:Vradi01g00150",80.7666308703668,-0.995816329779834,0.322922072902131,-3.0837666834922,0.00204397824876119,0.00956491797662812
"gene:Vradi01g00160",4.64649008890023,-4.27107967650351,1.39697716239588,-3.05737258379974,0.00223286546694569,0.0102706818237469
"gene:Vradi01g00170",0,NA,NA,NA,NA,NA
"gene:Vradi01g00180",591.435021250451,0.25117545873074,0.194634439602541,1.29049853275536,0.196877620940274,0.358874581225673
"gene:Vradi01g00190",158.006772848114,0.0552249765783042,0.582006068941014,0.0948872864483845,0.924404354897716,0.954824442979342
"gene:Vradi01g00200",681.606770289753,-0.0199886090186713,0.163343243190586,-0.122371814274245,0.902604559672567,0.94704086031227
"gene:Vradi01g00210",0.0766495204235822,-0.507470147850761,4.08043888739303,-0.124366560033198,0.90102504898286,0.94704086031227
"gene:Vradi01g00220",14.9179242881766,1.74626884617158,0.51823021118579,3.36967781591862,0.000752561184077389,0.004083044722122
"gene:Vradi01g00230",2091.78094733864,0.052832090463,0.27336303312395,0.19326713586414,0.846749762857207,0.926861471539105
"gene:Vradi01g00240",144.599623049908,-0.579553954794256,0.411382545097682,-1.40879568591478,0.158895591176059,0.306101165009668
"gene:Vradi01g00250",342.027963856581,0.0207398761550459,0.212615469773533,0.0975464117316437,0.922292478707077,0.953713953899158
"gene:Vradi01g00260",517.64479391208,0.374180836242633,0.136293577401737,2.7454032932139,0.00604365768436186,0.0239306321352837
"gene:Vradi01g00270",2928.92684579073,0.453708058187295,0.236444913661094,1.91887425769544,0.055000249187443,0.138798588654365
"gene:Vradi01g00280",652.489829129536,-0.445286983689422,0.447396994895738,-0.995283805590139,0.319598251830949,0.503738716092111
"gene:Vradi01g00290",10.1049604980604,-2.03515131845869,0.812564454249784,-2.50460293680664,0.0122588927778701,0.0425950400494922
"gene:Vradi01g00300",258.733700167579,0.0878285921467893,0.219593123026729,0.399960576798658,0.689185553784069,0.824244641400688
"gene:Vradi01g00310",152.439147549731,0.486022601590873,0.193846344590034,2.50725698551996,0.0121672214844669,0.0423324299128965
"gene:Vradi01g00320",1011.4163713432,-0.632372947938085,0.111393062992561,-5.67695088858735,1.3711681779044e-08,2.4075331089794e-07
