"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:Vradi01g00010",2807.99419282336,-1.13344045273043,0.113940666622144,-9.9476375409423,2.58240785433062e-23,1.18798356616427e-21
"gene:Vradi01g00020",771.78723371121,0.092910768529791,0.125275426733044,0.741651981978711,0.458298219969406,0.5809419287253
"gene:Vradi01g00030",47.5384754465957,1.42429676490824,0.373137904761648,3.81707874416579,0.000135041080901558,0.000574585839603173
"gene:Vradi01g00040",100.859047013912,0.511465787577156,0.255420608904963,2.00244525987902,0.0452368648747202,0.0916040657050102
"gene:Vradi01g00050",2955.13946928079,-0.207531643564371,0.142226495185968,-1.45916302931471,0.144520241736294,0.238367721290454
"gene:Vradi01g00060",1071.46540674964,0.109929127801696,0.12623302867926,0.870842828947799,0.383839976457115,0.5089988191408
"gene:Vradi01g00070",562.854661461292,-0.607024544147904,0.156147835579783,-3.88749893262367,0.000101282432943557,0.000442131882129551
"gene:Vradi01g00080",385.269411449047,0.844005128201706,0.147559679705553,5.71975440639253,1.06678135190295e-08,9.75761820182111e-08
"gene:Vradi01g00090",3743.29602127981,1.07750237281344,0.230257638969832,4.67955103524108,2.87503789826427e-06,1.72955645256736e-05
"gene:Vradi01g00100",680.361602835754,0.205246858744235,0.14211731747284,1.44420723944118,0.14868068911115,0.24407164760574
"gene:Vradi01g00110",100.300564705773,0.677582553918176,0.246487250595566,2.74895578688549,0.00597854499469504,0.0164515169356131
"gene:Vradi01g00120",170.675231332943,-0.133550472408071,0.206880815454865,-0.645543049095376,0.518575330167006,0.636673990366295
"gene:Vradi01g00130",0,NA,NA,NA,NA,NA
"gene:Vradi01g00140",23.4956439470566,0.128725164354423,0.504633857947157,0.255086261706805,0.798656474827989,0.860580752683411
"gene:Vradi01g00150",49.5297601820586,0.0746526879753666,0.445292656559145,0.167648594414786,0.866859739374576,0.911560655073131
"gene:Vradi01g00160",1.07457949561589,-1.10199861344775,2.64922656752459,-0.415969938908414,0.677432000491026,0.769393483699574
"gene:Vradi01g00170",0,NA,NA,NA,NA,NA
"gene:Vradi01g00180",461.061221386088,-0.226328423622839,0.150304185749619,-1.50580253300372,0.132117872901567,0.221889364335167
"gene:Vradi01g00190",124.849079749037,-1.86034501866388,0.262849391129013,-7.07760824810425,1.46663623071074e-12,2.2314841716485e-11
"gene:Vradi01g00200",597.938700710813,0.335799202339959,0.167183835014662,2.00856262395529,0.0445835384394799,0.0904567550566747
"gene:Vradi01g00210",0.169081572869367,-0.238559890012036,4.56209215174643,-0.0522917736154698,0.958296208054545,NA
"gene:Vradi01g00220",11.3296151521456,-3.19297211807371,1.0503598913839,-3.03988389528737,0.00236669366214817,0.00739757305548751
"gene:Vradi01g00230",2063.18900341289,-0.625010969529225,0.156621530741942,-3.99058141347774,6.59115186632403e-05,0.000300648020825821
"gene:Vradi01g00240",293.180923182378,-1.04931460642692,0.212126825353197,-4.94663795905955,7.5506220335331e-07,5.05784829102302e-06
"gene:Vradi01g00250",226.612038545529,0.200990168320613,0.194480247981858,1.03347342676858,0.301382399932505,0.422643074371702
"gene:Vradi01g00260",452.82616111408,-0.245636887610974,0.146495026472992,-1.67675922879375,0.0935895733770747,0.167047188998154
"gene:Vradi01g00270",1919.54583122599,0.767450226304519,0.12921985728252,5.93910442592893,2.8658328482058e-09,2.84239008108985e-08
"gene:Vradi01g00280",927.674250964023,0.592276350576321,0.266150940687879,2.22534006096524,0.0260584180238337,0.0576573371496368
"gene:Vradi01g00290",9.02882945539167,1.40016240827837,0.870012012042931,1.60935985813639,0.10753767739664,0.187597235351421
"gene:Vradi01g00300",277.938089377096,-1.31951898282732,0.181116886946468,-7.28545529394688,3.20585772340198e-13,5.28932707296734e-12
"gene:Vradi01g00310",159.911082051205,-0.288464872537577,0.237604136493092,-1.21405661027271,0.224726107443014,0.337591259367521
"gene:Vradi01g00320",767.107290887725,-0.809320580713716,0.13172206488181,-6.14415346008959,8.03910925689585e-10,8.64190432213801e-09
"gene:Vradi01g00330",284.419951492863,-0.164354556907391,0.217753637583399,-0.754772956867111,0.450385222740915,0.573747782121734
"gene:Vradi01g00340",14.2857169972849,0.80726958075698,0.621753589896325,1.29837542376167,0.19415835999479,0.301542141662051
"gene:Vradi01g00350",3000.5345932419,0.38862926467918,0.142267285776284,2.73168397470029,0.00630115498343206,0.017209073702787
"gene:Vradi01g00360",558.493353031796,0.709549025577344,0.174856059379279,4.05790355848216,4.9515206283675e-05,0.000231046342924511
"gene:Vradi01g00370",791.27327923599,-0.40527095962239,0.131045482654373,-3.09259771045506,0.00198412903248501,0.00631923481920138
